"runs","Beacon","ProxyGeneral","TokenManager","ParameterMgr","ValueCalc","SwapManager","LiquidityMgr","EmergencyH","ProtocolMgr","ChainlinkAdp","EulerLensAdp","EulerV2Plugin","EulerVaultReg","UniV3Direct","FlashLoanPlg","GMXv2Plugin","FlashLoanSvc"
"1","7106","13403","8687","14509","13045","24221","21515","22250","13091","7586","15944","32840","4946","4579","13875","6848","5745"
"100","7106","13403","8687","14509","13045","24221","21515","22250","13091","7586","15944","32840","4946","4579","13875","6848","5745"
"200","7106","13403","8687","14509","13045","24221","21515","22250","13091","7586","15944","32840","4946","4579","13875","6848","5745"
"500","7106","13403","8687","14509","13045","24221","21515","22250","13091","7586","15944","32840","4946","4579","13875","6848","5745"
"1000","7106","13403","8687","14509","13045","24221","21515","22250","13091","7586","15944","32840","4946","4579","13875","6848","5745"
"5000","7106","13403","8687","14509","13045","24221","21515","22250","13091","7586","15944","32840","4946","4579","13875","6848","5745"
"10000","7106","13403","8687","14509","13045","24221","21515","22250","13091","7586","15944","32840","4946","4579","13875","6848","5745"
"50000","7106","13403","8687","14509","13045","24221","21515","22250","13091","7586","15944","32840","4946","4579","13875","6848","5745"
